timestamp,symbol,action,price,balance,position,profit,reason
2026-05-12T11:42:11.027275,BTC/USD,BUY,80215.75,990.23,0.0001218,0
2026-05-14T06:26:19.699771,BTC/USD,SELL,79347.25,999.89,0.0001218,-0.11
2026-05-14T09:47:52.636848,BTC/USD,BUY,80482.0,129.27,0.00709138,0,
2026-05-15T11:40:02.606313,BTC/USD,SELL,79265.36,691.37,0.00709138,-8.63,Trailing Stop Hit
