timestamp,symbol,total_value,cash_balance,position_value,current_price
2026-05-14T08:12:49.400030,SOL/USD,300.0,300,0.0,91.28
2026-05-14T08:16:36.370317,BTC/USD,700.0,700,0.0,79908.67
2026-05-14T08:16:36.558113,SOL/USD,300.0,300,0.0,91.4
2026-05-14T08:17:53.520532,BTC/USD,700.0,700,0.0,79833.61
2026-05-14T08:17:53.689521,SOL/USD,300.0,300,0.0,91.28
2026-05-14T08:21:40.383955,BTC/USD,700.0,700,0.0,79833.6
2026-05-14T08:21:40.594117,SOL/USD,300.0,300,0.0,91.22
2026-05-14T08:22:57.627592,BTC/USD,700.0,700,0.0,79999.99
2026-05-14T08:22:57.801671,SOL/USD,300.0,300,0.0,91.4
2026-05-14T08:26:44.492208,BTC/USD,700.0,700,0.0,79890.55
2026-05-14T08:26:44.668882,SOL/USD,300.0,300,0.0,91.27
2026-05-14T08:28:01.729992,BTC/USD,700.0,700,0.0,79891.97
2026-05-14T08:28:01.918759,SOL/USD,300.0,300,0.0,91.25
2026-05-14T08:31:48.479007,BTC/USD,700.0,700,0.0,79909.21
2026-05-14T08:31:48.663994,SOL/USD,300.0,300,0.0,91.25
2026-05-14T08:33:05.872512,BTC/USD,700.0,700,0.0,79902.21
2026-05-14T08:33:06.001196,SOL/USD,300.0,300,0.0,91.23
2026-05-14T08:36:52.593088,BTC/USD,700.0,700,0.0,79672.33
2026-05-14T08:36:52.778240,SOL/USD,300.0,300,0.0,90.82
2026-05-14T08:38:10.204951,BTC/USD,700.0,700,0.0,79819.93
2026-05-14T08:38:10.371592,SOL/USD,300.0,300,0.0,90.98
2026-05-14T08:41:56.613759,BTC/USD,700.0,700,0.0,79759.68
2026-05-14T08:41:56.809929,SOL/USD,300.0,300,0.0,90.95
2026-05-14T08:43:14.338707,BTC/USD,700.0,700,0.0,79769.99
2026-05-14T08:43:14.607951,SOL/USD,300.0,300,0.0,90.98
2026-05-14T08:47:00.901338,BTC/USD,700.0,700,0.0,79858.0
2026-05-14T08:47:01.089854,SOL/USD,300.0,300,0.0,91.07
2026-05-14T08:48:18.477547,BTC/USD,700.0,700,0.0,79873.91
2026-05-14T08:48:18.671990,SOL/USD,300.0,300,0.0,91.06
2026-05-14T08:52:05.220278,BTC/USD,700.0,700,0.0,79964.02
2026-05-14T08:52:05.399107,SOL/USD,300.0,300,0.0,91.17
2026-05-14T08:53:22.498329,BTC/USD,700.0,700,0.0,79916.06
2026-05-14T08:53:22.665225,SOL/USD,300.0,300,0.0,91.06
2026-05-14T08:57:09.739648,BTC/USD,700.0,700,0.0,79930.05
2026-05-14T08:57:09.925848,SOL/USD,300.0,300,0.0,91.09
2026-05-14T08:58:26.694499,BTC/USD,700.0,700,0.0,79857.99
2026-05-14T08:58:26.900451,SOL/USD,300.0,300,0.0,91.04
2026-05-14T09:02:14.230129,BTC/USD,700.0,700,0.0,79808.58
2026-05-14T09:02:14.436637,SOL/USD,300.0,300,0.0,90.98
2026-05-14T09:03:30.923129,BTC/USD,700.0,700,0.0,79759.58
2026-05-14T09:03:31.111432,SOL/USD,300.0,300,0.0,90.87
2026-05-14T09:04:32.365236,BTC/USD,700.0,700,0.0,79759.68
2026-05-14T09:04:32.524434,SOL/USD,300.0,300,0.0,90.93
2026-05-14T09:07:18.454054,BTC/USD,700.0,700,0.0,79564.15
2026-05-14T09:07:18.627681,SOL/USD,300.0,300,0.0,90.65
2026-05-14T09:08:34.904181,BTC/USD,700.0,700,0.0,79595.03
2026-05-14T09:08:35.107636,SOL/USD,300.0,300,0.0,90.66
2026-05-14T09:12:22.764575,BTC/USD,700.0,700,0.0,79815.61
2026-05-14T09:12:22.991584,SOL/USD,300.0,300,0.0,90.92
2026-05-14T09:13:39.073096,BTC/USD,700.0,700,0.0,79935.0
2026-05-14T09:13:39.273446,SOL/USD,300.0,300,0.0,91.05
2026-05-14T09:17:27.101930,BTC/USD,700.0,700,0.0,80002.85
2026-05-14T09:17:27.299451,SOL/USD,300.0,300,0.0,91.12
2026-05-14T09:18:43.258782,BTC/USD,700.0,700,0.0,80076.13
2026-05-14T09:18:43.461042,SOL/USD,300.0,300,0.0,91.24
2026-05-14T09:22:31.443443,BTC/USD,700.0,700,0.0,80193.43
2026-05-14T09:22:31.645155,SOL/USD,300.0,300,0.0,91.43
2026-05-14T09:30:20.813338,BTC/USD,700.0,700,0.0,80121.94
2026-05-14T09:30:21.006593,SOL/USD,300.0,300,0.0,91.43
2026-05-14T09:32:18.533340,BTC/USD,700.0,700,0.0,80075.68
2026-05-14T09:32:18.752598,SOL/USD,300.0,300,0.0,91.32
2026-05-14T09:32:39.578504,BTC/USD,700.0,700,0.0,80092.33
2026-05-14T09:32:39.814057,SOL/USD,300.0,300,0.0,91.33
2026-05-14T09:33:55.997431,BTC/USD,700.0,700,0.0,80076.41
2026-05-14T09:33:56.253377,SOL/USD,300.0,300,0.0,91.28
2026-05-14T09:37:44.331973,BTC/USD,700.0,700,0.0,80237.98
2026-05-14T09:37:44.522289,SOL/USD,300.0,300,0.0,91.51
2026-05-14T09:39:00.440592,BTC/USD,700.0,700,0.0,80253.59
2026-05-14T09:39:00.629491,SOL/USD,300.0,300,0.0,91.51
2026-05-14T09:42:48.460405,BTC/USD,700.0,700,0.0,80334.01
2026-05-14T09:42:48.659559,SOL/USD,300.0,300,0.0,91.59
2026-05-14T09:44:04.580894,BTC/USD,700.0,700,0.0,80314.93
2026-05-14T09:44:04.813290,SOL/USD,300.0,300,0.0,91.56
2026-05-14T09:47:53.708105,BTC/USD,700.0,129.27,570.73,80482.0
2026-05-14T09:47:53.930905,SOL/USD,300.0,300,0.0,91.8
2026-05-14T09:49:09.755438,BTC/USD,700.99,129.27,571.72,80621.63
2026-05-14T09:49:09.948132,SOL/USD,300.0,300,0.0,91.94
2026-05-14T09:52:58.980303,BTC/USD,701.88,129.27,572.61,80747.53
2026-05-14T09:52:59.247377,SOL/USD,300.0,300,0.0,92.11
2026-05-14T09:54:15.095616,BTC/USD,702.39,129.27,573.12,80819.0
2026-05-14T09:54:15.284919,SOL/USD,300.0,300,0.0,92.15
